ENA CODE,DESCRIPTION,QTY,MRP
8906032341130,MILKMA VANILLA DEW 150GM,3,18
8906032341109,MILKMA SALT BISCUIT 200GM,2,22
8908000360105,MACRONAL PLUM CAKE BAR 250GMS,3,55
8908000360136,MACRONAL PLUM CAKE ROUND 400G,1,75
8906032340072,MILKMA MILK RUSK 200GM,2,17
8908000228337,IYERS GOLD FINGER 200 GMS,1,25
8906003395063,ATS PUFFED RICE BALLS 100GMS,1,15
8908000360280,MACRONAL VANILLA BAR CAKE 75G,7,13
8908000360310,MACRONAL PINEAPPLE BAR CAKE 75G,6,13
8908000360327,MACRONAL FRUIT BAR CAKE 75G,3,13
8908000360150,MACRONAL TEA CAKE 350GMS,3,50
8908000360167,MACRONAL MARBLE CAKE 300GMS,1,45
8901571003914,HORLICKS FOODLES MULTIGRN MASALA 80GM,1,15
8908000228597,IYERS ONION SANDIEG 140GM,10,32
8908000228412,IYERS RICE PAPAD 100G,5,28
8908000228641,IYERS POTATO PAPAD 100GM,10,28
8908000228467,IYERS SAGO SANDIGE 140 GMS,5,34
8908000228412,IYERS RICE PAPAD 100G,4,28
8908000228467,IYERS SAGO SANDIGE 140 GMS,4,34
8908000228412,IYERS RICE PAPAD 100G,1,28
8908000228337,IYERS GOLD FINGER 200 GMS,3,25
8908000228412,IYERS RICE PAPAD 100G,4,28
8908000228580,IYERS MASALA PAPAD ROUND 120 GMS,11,35
8908000228573,IYERS MASALA PAPAD LONG CHIPS 120 GMS,14,35
8902080524044,GATORADE ORANGE FLAVOUR 500 ML,12,35
8904004405125,HALDIRAMS SPECIAL SOAN PAPADI 500 GMS,1,125
8902579107017,FROOTI COOL MANGO 2 LTR,3,80
8902579103187,FROOTI COOL MANGO PET 1 .2 LTR,1,50
8902579103170,FROOTI COOL MANGO PET 600ML,5,28
8902579103019,FROOTI COOL MANGO PET 250ML,1,14
8904004405422,HALDIRAMS SOAN PAPADI 500 GMS,1,86
8906027140014,SUGUNA PRO EGG,19,30
8901725194536,BINGO INTERNATIONAL CREAM & ONION 84 GM,1,20
8901491103084,KURKURE GREEN CHUTNEY RAJASTHANI STYLE 150 G,1,20
8908000228467,IYERS SAGO SANDIGE 140 GMS,1,34
8908000228269,IYERS CHILLI PAPAD 160 GMS,1,42
8908000228641,IYERS POTATO PAPAD 100GM,1,28
8908000228283,IYERS CURD CHILLI 100 GMS,1,21
8906000720233,MALTYS CHOCOTREAT CHOCOLATE 14 GM,4,5
8901014000210,TOP RAMEN MACHO MASALA 80GMS,1,10
8901063023406,BRITANNIA MARIE GOLD BISCUITS 337GMS,1,27
8906003395124,ATS NUTS N ROLLS 100G,1,12
4800024552778,DEL MONTE PINEAPLE ORANGE DRINK 240ML,1,25
8901262200196,AMUL BUTTER MILK 200ML,1,10
8901063093027,BRITANNIA GOOD DAY CASHEW BISCUITS 180GMS,1,25
8904004405613,HALDIRAMS BADAM HALWA 200 GMS,2,35
8901542002229,COMPLAN CRUNCH TIMERS MILK CREAM BISCUITS 75 GMS,4,12
8901571003402,NUTRI BAR NUTS N RAISINS 30G,1,20
8901786411009,EVEREST KASHMIRI CHILLI POWDER 100GMS,2,50
8901063018013,BRITANNIA TIME PASS CLASSIC SALTED BISCUITS 64GMS,1,7
8908000228580,IYERS MASALA PAPAD ROUND 120 GMS,1,35
8901491503044,LAYS SPANISH TANGO 35GMS,1,10
8901719703072,PARLE KRACKJACK FAMILY PACK 234 GMS,1,20
8908000228283,IYERS CURD CHILLI 100 GMS,1,21
8901491103084,KURKURE GREEN CHUTNEY RAJASTHANI STYLE 150 G,2,20
8901063018037,BRITANNIA TIME PASS CLASSIC SALTED BISCUITS 164GMS,1,15
8904004404715,HALDIRAMS CHATPATA DAL160GMS,1,26
8906002380046,ATS GROUNDNUT CHIKKIES 40GMS,1,5
8901764095108,MAAZA TETRA 200ML,1,10
8901542002267,COMPLAIN CRUNCH TIMERS ORANGE BISCUITS 75 GMS,1,12
8906002380046,ATS GROUNDNUT CHIKKIES 40GMS,4,5
8901786411009,EVEREST KASHMIRI CHILLI POWDER 100GMS,1,50
8906008430257,SWITZ CHOCO DELITE CAKE 40GM,1,5
8901393002171,CHLORMINT CHEWING GUM FLIP TOP 21 8G,2,10
8906008430097,SWITZ KUP KEYK CHOCOLATE CAKE 35GM,1,7
8902579100025,FROOTI COOL MANGO TETRA PACK  200 ML,1,10
8901063325173,BRITANNIA PREMIUM BAKE SUJI TOAST 375GM,1,34
8904117900012,PRO NATURE ATTA WHEAT FLOUR 1KG,3,45
8904117900012,PRO NATURE ATTA WHEAT FLOUR 1KG,1,45
8901233006000,CADBURY FIVE STAR BAR CHOCOLATE 32 GMS,1,10
8901233000534,CADBURY FIVE STAR BAR CHOCOLATE 16 GMS,3,5
8901042954820,MTR TURMERIC POWDER 100 GMS,2,32
8904117901149,PRO NATURE SAMBAR POWDER 100GM,1,32
8904117901156,PRO NATURE RASAM POWDER 100GM,1,38
8904117901149,PRO NATURE SAMBAR POWDER 100GM,1,32
8901542004605,COMPLAN PLAIN 500 GMS,2,173
8901542004599,COMPLAN CHOCOLATE REFILL 500 GMS,11,198
8901542004926,COMPLAN CHOCOLATE REFILL 200 GMS,2,99
8901030215483,DOVE CREAM BATHING BAR 3*100G,21,143
8906006720114,LION SEEDED DATES POUCH 500GMS,51,72
8901063093010,BRITANNIA GOOD DAY CASHEW BISCUITS 90 GMS,174,14
8908000120280,SAFAL PREMIUM SUNFLOWER OIL POUCH 1 LT,11,90
8901030292552, DOVE EXFOLIATING BAR 100*4 GM,3,168
8901030313493,PEARS GERMSHIELD SOAP 125GM BUY3 GET1,17,132
8901030314698,DOVE CREAM BEY 5*75GM,13,155
8901030356179,KNORR SOUPY NOODLES TOMATO CHATPATA MT 61GM,1,12
8901042962191,MTR  BIRYANI PASTE  70GM,1,15
8901063017191,BRITANNIA 50-50 MASKA CHASKA 66GMS,1,10
8901063362628,BRITANNIA CAKE CHOCOLATE 150GM,1,22
8901233006079,CADBURYS FIVE STAR CRUNCHY 32 GMS,1,15
8901233007595,CADBURY  5 STAR FRUIT & NUT 45GMS,1,20
8901233008417,BOURNVITA REFILL 500 GMS,16,32
8901393003703,CHOCOLIEBE ECAIRS POUCH 170GM,1,50
8901491365321,KURKURE MUMBAI CHATPATA USAL 50GM,6,10
8901542007729,COMPLAN STRAWBERRY RF 500GM,1,198
8901542008887,COMPLAN TODDLER CHOCOLATE 175GM,2,102
8901542009556,COMPLAN TODDLER STRAWBERRY175GM,1,102
8901542009617,COMPLAN TODDLER BADAM KHEER 175GM,1,102
8901542009747,COMPLAN MEMORY 175GM,12,101
8901542009754,COMPLAN MEMORY 400GM,6,203
8901542010361,COMPLAN PISTA BADAM REFILE 175GM,2,101
8901719111327,PARLE WAFERS TANNGY TOMATO 30GM,1,10
8901719112126,PARLE FULLTOSS MASALA MUNCH 50 GMS+10GMS FREE,2,10
8901719255151,PARLE G BISCUITS176 GMS,1,10
8901725194727,BINGO-PICKLE TICKLE 28GM,1,10
8901928272703,BISKFARM SPICY 250GM,2,25
8901928302509,BISKFARM TOP GOLD 250 GM,1,30
8903361301439,TOURIST  CHOCO VANILLA 22.5GMS,1,5
8906006050778,VIJAY  FOOD PULIYOGARE  MIX 200GMS,1,44
8908001006187,ASK FOOD CHOCOLATE JUEGIPS 50 GM,1,22
8901018018594,NILGIRIS CUP CAKE 90GM 4 IN 1,1,18
8908000360327,MACRONAL FRUIT BAR CAKE 75G,1,13
8904004403923,HALDIRAMS SALTED KAJU 40G,1,30
8901905000299,MONGINIS SLICE CAKE VANILLA 30GM,2,5
8908001006071,ASK FOOD GARLIC CHUTNEY POWDER / RICE MIX 50G,3,18
8906009531229,RITE BITE FRUITY CHOCO 40GMS,2,20
8906000720202,MALTYS CHOCOTREAT CHOCOLATE 14 GM,2,5
8904008100224,NATURO APPLE FRUIT BAR ADDED SUGAR18G,1,5
8906011630101,GOODLIFE PURE COWS MILK 500ML,2,16
8902080204083,MIRINDA 2LTR,1,55
8902080304080,7 UP PET BOTTLE 2 LTRS,1,55
8901030295652,WHEEL ACTIVE GREEN DETERGENT POWDER 1KG,1,30
8902080013395,TROPICANA PREMIUM GOLD MIXED FRUIT 1 LTR,1,75
8906011630507,GOODLIFE SLIM MILK 500ML,1,15
8904004403923,HALDIRAMS SALTED KAJU 40G,2,30
8904004401721,HALDIRAMS NAVRATAN CHAWDA 200 GMS,1,36
8904004401615,HALDIRAMS KASHMIRI DALMOTH 160G,2,36
8904004404029,HALDIRAMS MASALA KAJU 40G,1,30
8906000720202,MALTYS CHOCOTREAT CHOCOLATE 14 GM,1,5
8906019330034,REVATHI GHEE POUCH 200 ML,1,68
8906032341062,MILKMA WHOLE WHEAT BISCUIT 200GM,1,24
8901063079267,BRITANNIA TIGER ELAICHI CREAM BISCUITS 160 GMS,1,10
8901063079274,BRITANNIA TIGER ORANGE CREAM BISCUITS 200G,4,10
8901571003396,NUTRI BAR CEREAL N MILK 30G,5,15
8901571003389,NUTRI BAR CHOCO CRISPY 30G,1,15
8906000720202,MALTYS CHOCOTREAT CHOCOLATE 14 GM,1,5
8901012112533,JOHNSON BABY MILK SOAP 75GMS,1,27
8906032720188,SUNSWAD SUN FLOWER OIL POUCH 1 LTR,2,72
8908000502017,SUNPURE REFINED SUNFLOWER OIL POUCH 1 LT,2,90
8901512680204,SUNDROP HEART SUNFLOWER & RICE BRAN BLEND POUCH 1 LT,1,135
8901088034593,SAFFOLA ACTIVE OIL POUCH 1 LT,1,84
8906006330030,GEMINI REFINED SUNFLOWER OIL 1 LT,2,90
8908000120280,SAFAL PREMIUM SUNFLOWER OIL POUCH 1 LT,1,90
8908000120020,SAFAL DOUBLE FILTERED GROUNDNUT OIL POUCH 1 LT,1,90
8901030295850,WHEEL ACTIVE GREEN DETERGENT POWDER 650GMS,1,20
8901424007892,PRIL DISHWASH LIQUID ORANGE 425 ML,1,63
8901018018907,NILGIRIS PIZZA BASE 150GM,1,15
8906009531533,RITE BITE WORK OUT BAR 50 GMS,5,40
8906009531304,RITE BITE SMART 30 GMS,3,15
8906009531250,RITE BITE KRUNCH 30 GMS,5,15
8901725014612,GOLD FLAKE LIGHTS CIGARETTES 10S,20,48
8901725177317,GOLD FLAKE SMALL 10S,10,35
8901725934026,VIVEL ACTIVE FAIR 25GM,6,38
8901030261541,LAKME FUNDAMENTALS SUN EXPERT ULTRA MATTE MINI SPF 20 20GMS,2,59
8901526202485,GARNIER PIMPLE CONTROL PEN 10ML,3,80
8901786380015,EVEREST SAFFRON 1 GMS,12,164
5000159407397,SNICKER BAR 57 GMS,12,30
8901233006000,CADBURY FIVE STAR BAR CHOCOLATE 32 GMS,24,10
8901233006314,CADBURY  5 STAR FRUIT & NUT 45GMS,7,20
8901233006079,CADBURYS FIVE STAR CRUNCHY 32 GMS,17,15
8901233000534,CADBURY FIVE STAR BAR CHOCOLATE 16 GMS,29,5
8901233000299,CADBURY FRUIT AND NUT CHOCOLATE 44 GMS,27,30
8901233000220,CADBURY DAIRY MILK ROAST ALMOUND 44GMS,8,30
8901233005225,CADBURY CRACKLE CHOCOLATE 40 GMS,11,30
8901058100778,NESCAFE SUNRISE SPECIAL COFFEE 50 GMS,10,39
8901058100785,NESCAFE SUNRISE COFFEE SPECIAL 200 GMS,2,140
8901058100143,NESCAFE CLASSIC INSTANT COFFEE POWDER POUCH 50 GMS,4,67
8901058135725,NESCAFE SUNRISE PREMIUM INSTANT COFFEE POWDER POUCH 50 GMS,4,52
4902430389402,HEAD&SHOULDERS COOL MENTHOL SHAMPOO 750ML,1,369
8901030340932,SUNSILK PINK SHAMPOO  FOR DRY HAIR 200ML,3,105
8901030340819,SUNSILK NATURALS VELVETY SOFT  SHAMPOO 100ML,2,56
8901526101498,LOREAL TOTAL REPAIR REPAIRING SHAMPOO DAMAGED HAIR 200M,5,130
8901526101597,LOREAL TOTAL REPAIR REPAIRING CONDITIONER DAMAGED HAIR 90GM,2,80
8901030340956,SUNSILK BLACK SHAMPOO  FOR DULL HAIR 200ML,2,105
8901138509064,HIMALAYA GENTAL DAILY CARE SHAMPOO 100ML,3,60
8901138509040,HIMALAYA EXTRA MOISTURING SHAMPOO 100ML,3,60
8901138816285,HIMALAYA ANTI HAIR FALL SHAMPOO 100ML,2,60
8901138509071,HIMALAYA SOFTNESS & SHINE SHAMPOO 100ML,1,55
8901138509095,HIMALAYA ANTI DANDRUFF SHAMPOO 100ML,3,63
8901526101481,LOREAL TOTAL REPAIR REPAIRING SHAMPOO DAMAGED HAIR 100ML,2,70
8901030272264,VASELINE INTENSIVE CARE HEALTHY WHITE LOTION 300ML,2,165
8901030349096,VASELINE TOTAL MOISTURE LOTION 300ML,2,129
8901088051644,PARACHUTE ADV BODY LOTION 250ML ALL SEASON,2,99
8901088051620,PARACHUTE ADV BODY LOTION 100ML ALL SEASON,3,49
8901526101238,LOREAL COLOUR PROTECT PROTECTING SHAMPOO COLOURED HAIR 200M,4,135
8901526101252,LOREAL COLOUR PROTECT PROTECTING CONDITIONER COLOURED HAIR 1,3,150
8901526101764,LOREAL NUTRI GLOSS SHAMPOO 200M,2,130
8901088051590,PARACHUTE ADV BODY LOTION 100ML DRY,1,49
8901088051590,PARACHUTE ADV BODY LOTION 100ML DRY,5,49
8901526101511,LOREAL TOTAL REPAIR REPAIRING CONDITIONER DAMAGED HAIR 180G,2,150
8906002660216,KLF NIRMAL COCONUT HAIR OIL 100ML PET BOTTLE,10,27
8901088051613,PARACHUTE ADV BODY LOTION 250ML DRY,1,99
8901088051613,PARACHUTE ADV BODY LOTION 250ML DRY,1,99
8901030327933,SUNSILK DAMAGE REPAIR SHAMPOO 200ML,4,99
8901030340833,SUNSILK DAMAGE REPAIR SHAMPOO 100ML,5,56
8901030340826,SUNSILK  HAIR FALL SOLUTION SHAMPOO 100ML,6,56
8901030340840,SUNSILK ANTI DANDRUFF SHAMPOO WHITE 100ML,3,56
8901088047265,PARACHUTE ADVANCE HOT OIL 300ML,1,115
8901030340963,SUNSILK ANTI DANDRUFF SHAMPOO WHITE 200ML,3,105
8901088028448,PARACHUTE ADVANCED COCONUT HAIR OIL 170ML,2,58
8906002660452,KLF NIRMAL COCONUT HAIR OIL 500ML PET BOTTLE,4,106
8901088000451,PARACHUTE COCONUT OIL BOTTLE 500 ML,2,120
8901088047142,PARACHUTE COCONUT OIL REGULAR 250ML,7,65
8901088050586,PARACHUTE COCONUT OIL REGULAR 175 ML,1,49
8906002660407,KLF NIRMAL COCONUT HAIR OIL 250ML PET BOTTLE,4,58
8901526201259,GARNIER FRUITS CONDITIONER NORMAL HAIR 90GM,4,68
8901526205714,GARNIER FRUITS CONDITIONER DRY DAMAGED HAIR 90GM,5,68
8901526205721,GARNIER FRUITS SHAMPOO DRY DAMAGED HAIR 100ML,3,68
8901725922337,FIAMA SILKY STRONG SHAMPOO 100ML,1,59
8901526205295,GARNIER FRUITS CONDITIONER LONG&STRONG 90GM,4,68
8901526203925,GARNIER FRUITS SHAMPOO+OIL 200ML,5,117
8901526206452,GARNIER FRUITS FALL FIGHT SHAMPOO 100ML,3,64
8901526201204,GARNIER FRUITS SHAMPOO ANTI DANDRUFF 100ML,4,70
8901526205721,GARNIER FRUITS SHAMPOO DRY DAMAGED HAIR 100ML,1,64
8901526206476,GARNIER FRUITS SHAMPOO+OIL 100ML,1,64
8901526205806,GARNIER FRUITS SHAMPOO ANTI DANDRUFF 200ML,2,127
8901526205820,GARNIER FRUITS FALL FIGHT SHAMPOO 200ML,5,117
8901526205837,GARNIER FRUITS SHAMPOO DRY DAMAGED HAIR 200ML,6,117
8901526205790,GARNIER FRUITS SHAMPOO NORMAL HAIR 200ML,9,117
8901526206476,GARNIER FRUITS SHAMPOO+OIL 100ML,2,67
8901526206469,GARNIER FRUITS SHAMPOO NORMAL HAIR 100ML,2,64
8901526202898,GARNIER FRUITS SHAMPOO SLEEK&SHINE 100ML,2,64
4902430354035,PANTENE ANTI DANDRUFF SHAMPOO 2 IN 1 200ML,1,117
4902430381482,PANTENE ANTI DANDRUFF SHAMPOO 2 IN 1 200ML,1,117
4902430977296,PANTENE HAIR FALL CONTROL SHAMPOO 200ML,1,117
4902430381512,PANTENE PRO-V SHAMPOO LONG BLACK 200 ML,1,117
8901725932138,VIVEL VOLUME AND BOUNCE SHAMPOO 100ML,1,64
4902430222556,PANTENE PRO-V SHAMPOO LONG BLACK 100 ML,1,59
4902430381598,PANTENE PRO-V SHAMPOO LONG BLACK 100 ML,1,59
4902430354158,PANTENE NOURISHED SHINE SHAMPOO 90ML,3,59
4902430278041,PANTENE SHAMPOO SMOOTH & SILKY 100ML,2,59
4902430401463,PANTENE TOTAL DAMAGE CARE CONDITIONER 80ML,3,59
4902430395786,PANTENE SHAMPOO TOTAL DAMAGE CARE 180ML,2,117
4902430354011,PANTENE LIVELY CLEAN SHAMPOO 200ML,1,117
4902430977302,PANTENE SHAMPOO SMOOTH & SILKY 200ML,1,117
4902430977302,PANTENE SHAMPOO SMOOTH & SILKY 200ML,1,117
4902430354066,PANTENE SHAMPOO SMOOTH & SILKY 200ML,1,117
4902430271783,PANTENE NOURISHED SHINE CONDITIONER 180ML,2,117
4902430354073,PANTENE NOURISHED SHINE SHAMPOO 200ML,2,117
